alphaddress,points
1HCE9ZZ8ga23jRA1LfyGhzdhfJyyNA9xLRbxzapQMRWAS,5
1HQy35LTqXeF7udD5Vc9ervzZ3fVQauR4PJe2adtm7C9u,5
1HY9bJLjYaTkR4QiEoHUWb5KDJNDte58AnTqtSrz7gygp,5
1ZuxSZcRHJDs2LYeoXSP1xHdSeCiGdWAURgd2mf8TyTB,5
18sY5nbQVpmo65CstYWqrSmjNM455z1oWbQjFA74SFuCn,5
1Hn9AQ6v26jocgJkcvJmHSSdiU5K3XBJnQfz2JFQDFbFJ,5
121dRrjjWKk9n5XzvtCk8TvyFxdDj76t68DCxqZvgPApr,4
123Bwx3vhGRuTm2GfQZg6y9Yq3wUzJimt39LT6RjR5CEt,4
12Gegxe6wnHi6pSqwXHq6zFMVFnSVzqPRsh6Dok8j5Zp4,4
12KQKA6UWXJvo1YFYiEDk2EsAW4SEqPS4uGfYVU1PQFkM,4
12hRNkjJRLpQk5BuTfMUXJpQqFDGmtAGx7DvGDvLENjMT,4
12p92BdqTE9hrVuNNzEeUyfcEDBhkU43uDeVytiFuPrrf,4
12siuBS6BgbyJUrg6QdtoopYm7HkzJFUaiWjDRL5xxTWC,4
12vBxQbG5o9TDna9DdkoXJxcuFzWXFbfdFpcH99GN72Kn,4
12vtfpVfFCpB3kjA5meEyjPXku9KTNoUCL6ty6Wnd4VnD,4
131QJV6oD5MDfBszMRrdo42r9g6ce1Hzs15Cr2HtURU5s,4
138G6ZDhjzxSxCnRr8De8pftGZEQ8unffCkVh97Kc4w2A,4
13aU6XjjpGHnFtkvoh7jZSQD5U9xQu4YJ1inoYYnt5sxq,4
147eMNMDhiMM8PkNkU4mfkPuzWAP3fAEguH42kJsoofWP,4
14Ck8eDNNXL6AKNxhUMTkhaXzvyhhcK4bVcsvZ2wRrJyj,4
14P7S6yaoyrPqudTeEkrrZcCrZMJ568qjztrBN54sqjmK,4
14QpXmfAyhzoxWGazp4pTFdeNR5RuT35DxKbQANyo4z8j,4
14RZzaEu31DqtzQrY4wRaEVjxGhsdoAcBDsDpKLPDSGpP,4
14SHZaYSH8oJQtYMw3ZtbRhGGiT39nC7EQwEjcQCDjF6T,4
14U4d8YmGKpUXgKUSsnzsm99UKft2wBZ1d972tTXshfgF,4
14Zbxa2z3NLRQTr4DSNWZVTXe36N4zTzdWqmLg5YjjYcD,4
151MVw8zDcyCLFSSRvjVpozQio21jWMU11nFcWgz9yApZ,4
157L9MsM4AAfL2CJeqHHZR4bUaZRfsCLW2FaRQDyoXdjg,4
15Jngn4rqCKSg2jBnTaYs8hPudc15ngjC1NT3pAQGrpye,4
15gphXotCpMtUQf8ZqBxkv1wqrv9KvSU9xuiCPdB3nW7T,4
15uZVwwyjcdFJTmUPn9Cs6fQvRzJ7RrpKPJ7RQ9jGAzm2,4
168tuxsUvy1sbtbWupW3sVqhoDgQGGHka5E8myD568ZbS,4
16hMRNYveCxC8UStARoDK9WoqLweQEMsz1Rwhg3wr2eij,4
16isZ1GduVNgKvnXuuFP4W2WZrzK634wnyWJMa9X9hfzf,4
16s1nD4E1M2NzH1ziXCsjLWHgdp5GJfUuzsDTEzu8g7V1,4
17RnYNTDAWJumGJJhiKdmByC2nXVynBrkrmg25FYTAVpB,4
17aruf6WRTrJD3XfG9SNqTHDb7hjcy8r2LY2FQSc165bm,4
17fBedD5VTyALy51zH7VnUTMawXkZbi3SifQ9iZJBWWqS,4
184fYc7TQeaFpXDYXhTppCd8j3FBReF8ue9g3eF1Pux8F,4
186ircQVUU6RkTJFPVNTzjun5JqPWA2d59WzgnEXwZjs8,4
18EjAWYMgNDDNAjkBs3gCz1JMT1bSJmzi3ytDuyagVFhw,4
19CgE7ZevN1EZC7fU7bVMdViNn5gzy1GM8LTVdXjwyfjC,4
19i5VbfC3pAdr1FdtLthG7uRjXykCeuxeHd71KAe4UKQ,4
19vUFRhywTheMo2zBXddFzkidQHSHb8R1gY8KMNyKukgZ,4
1AVXCzQdD4ZdZ7ZTt3D2UQebegQR3RDMymcCTwxffWt3g,4
1AVouJXpZM2ZoQtjsGX1CbKRbfV4ddMqktJHsUdzh3PK1,4
1AmFgZrxsTUiskouHtaXAKsRdLbquMXcWintsVXAr1ntE,4
1B4WbqquZ2Eh16hH3fcmQ2q43zNbGLXogePYsfdH4THsR,4
1BX3zLFvR9EGLa43zmL93fw5TeMNmTDxgve5kossposkW,4
1Bimih1ZboeXpA5KWskrxXSAwPvZAvXYh5XDMyjNX37xP,4
1C6ipvRtbxwkrC7iWg8kfTqCdGXF9VvANxykdaPuvHGZk,4
1CqdctVcACMmYyxhL7YueV59dwgVaMpd2bSkM6VYhb12h,4
1Cstxs6EB8BodrkLW8Roo2t6DV5EAJm2xiXeh9gvamKc7,4
1DKsoA7TmooHfikH6vvwzDzv2xAkEndQCuhbodcxPF8Ht,4
1DshY3tGGxXHb72g2ZjffGVncpwk3ZGYGHjiyphu5ohf6,4
1DtgwsjQVa4JxcqsbvfLaKV8HXByubvZ6EUgvrGFmVgi8,4
1E2GhwpYsa7W5pBHDk2RDAxPPrUqHK1P7ePQuotX4EM8C,4
1EAGmXQQqD6D5Gs8QDM3jqEYWHZD8AacVQhPvdFT9tCxr,4
1EQ69wTYLt9pg1VagRnmoZKzMCLomPaAQeS92XoY1vP4R,4
1ERrj3MAqtZmbHKMG1WcQcYfBs125bpdiAjNrfGaVdNAk,4
1FezRTKvKhVDkNSAyFpVRznQqoPDx6SadXrL3wMbSqMp,4
1Fmvq1qU4Nq5HXP3r3v7Viob6GtT2yHUhXeNj9ejzGksM,4
1FreXMPZajaPB9EZxVB3zx4325CSFLPUMZ8VrzufgjXuK,4
1GKXqJaeskFzvrNWBhULi5cfXmJGRWw7EHBbq8MwdWpjA,4
1GdQcEw9w11SJjLVnjJfAtJRrGp6RFUg95aeMaM4KpMTs,4
1GdqHRSbyrRtnWmuKftVoDKLNmNWsuYxKcCTNgqxAZ7PX,4
1GfFapHoMN9xWXcoBSpGFoaK8aWRe4FBjic2ipEH5Ptfo,4
1GwsgMTBafT6kZtPF7MM7RsFoowZzpgfprA1FRQgAYm3f,4
1H8fwiFKQ8c2HciNNo3gFLj5St9U3Bd5TosrghDCH5y2T,4
1HPWyhvTHTdHGx9oKq3PD6p6hAUUCADab76eGPumiXqza,4
1HZAmmUybEkwPcSaUZcQjwuVoFLZ3qBKmaAa1L7Y99wQt,4
1KxwUjQmxCjBB4nbrxQaMt2p7i9NTK1buRbwP3Y9dYAy,4
1tiqE1Q72QC3FV1DB7xF6tmN1cCewyw9LFX2bNvgZZG6,4
1FwrzDdtLa75DW1TCpZ8Cq43Z9a3Mm2DgjJMfmBKTVCKc,4
1AutVaDH9SGtUq9cDS6qiSMafBokKygA7doF1smhX4v9D,4
126pgjvjCUbXPTukRgrthCqgEUcFJnjjueSWUYRzRScg4,3
12hqUBvGnq9mQfhScWJ1csdtH7yKYvMtW81B8h9YM8jko,3
13GUAm7UxvBA4XA27qRQz2raWX5h9Msnk3iHTWA2pH4bv,3
13hxSVtEUUE4VyE5DYLBh1SRUAYzRWmbVjbZ8qFmZvAXX,3
13qxYSnXQek97CFLUrer6uHvN2G3roUNyz8N8uEmHgVLP,3
13tyVJam9WAaE6XvFTfHeX9o28qsXoSmigQJnXE7ePBM3,3
148iCVVcbf5krHPbvMG4Btn6rZzUXLdhqUzUgsPumgaKr,3
14AhW3ZPtVskvxeh9qbxZwm3a5ooeEB4KUmpXNnLCJdAa,3
14MvBZUSPsr2mxvykPVgCjeCjEbVq46qtEpQUUt7AePUz,3
14Ny7RFJf3qpUHL5YcueW1KR4PBsoezFP5ECJ1hHBPsWk,3
14RdJNmmTxzWJYqR5HrqdKZd99uCP6CMJueof2Qm3KUtQ,3
14cEVpzp4oK2mwb4T29x4DzbuJGg9a2n33EFdP7KFiofF,3
14ydZrPLTMfjXXHC1PE5mRF8wCgjNpE9ut2yzKWFj58s5,3
15AcoJ8TeaUYV2xjjE8eQmJSZvmJbFmsSJpcAP8Hjube4,3
15Vvu9vo6uWdieJwUyfDtG1Nj3kmg6TSCjSwvnnMjpWjm,3
15XBuMTEFy8rEhgTxBcmUc9H5s6RbBvKoUKMW5SPwdvwj,3
15ZvqFMrTGLpNaCgvw4Hi2BeQY6cDW1dtJXQeKGGiwDUN,3
163uahU7nbMXs9cggNvxbKsPZCGzjgaMeZRxPp4eZEK88,3
163wcb6UWRKgbrm5Cpjw9BkRUK4WJryyukjoKgtgRmzex,3
16eCdrqipk7FaJSFk2sBYHSihT1ER4TJat2ty4CazUyda,3
16xUjiK4nbaUUYPmACDs9QyRNoNsqRYye7xevEwPhUzUK,3
16yDqBSNSXNW2ZaDyTMccwAFUbXGz8DM3jSqMjY1drLPi,3
177VM77bffJrSn2rPk12wjC1FcKu2UTbBwc1pEgMZaqAo,3
17D7cfiwrF9xmzWyYtjEp8aMUB3cqXZNTyW3nDtEVKcU1,3
17Q4mT4XPHtvftzyF48on8GgxKN7gfZSwUBfNbdyFhPds,3
17U1Vw6V9GEA6X44mVYnc1EM2wMofXD7Dw8MgxSxF7Y8k,3
17YcP8ckDxJC5KMxY1v9ZvMFT9poMRETJRTwzdMFqhQEz,3
17d4FfV1VzdLwN6F8eHvxLZRQvTZhAgEvbLB31qcDUkzx,3
17otU8cgHvbVXmubxrsbZFd6aS1XQ9f1CzjuzQm9pDTG3,3
18NM1k2QnkjGrn6DXiQiWTjsqtBjjifmQFXwfnXGzXv5T,3
18m2ahhjTKbViMmFhjDu2euymVLdkU4K3oh16WHWE7RZT,3
193S2y1BMJW4r71EirBQXaf2s1xjxRZ91iAFrsckGFEN4,3
19KzzRrWpSPJw89ujfYBBaQzkWdL6qcVSUbEs8CFvceqe,3
19PZP4eWmsE1uzRU89w4ytBMAnzbykaJuEtx2TT6dSEM6,3
19Wz7tztJyLMDoaef3BMARkMPjcJbicCnnq8DrbwNNdJe,3
19t8AddRetzZZkeked5kNWvdC2PjjaHfV5aoNGHXcuK2k,3
19tV6zkD9uD38fueWDBBseT59j97Vpxy7Ddjewb2RwjW9,3
1A9YjJpg3vWMLHB8ow4KuCcTGZh4TK3fCbhA93HunPh4m,3
1AJW61BeBrcdZidYXePa6C1xAWMvT76iKS9hh8DWCX54J,3
1AMnYYgEps6ZduJWtY5J4Zngiad5qS8xD56vFBK1gizbc,3
1AWLhHWhwV1D1anBMMDTRiBsgX3FV3818Ge7rMxHEBPvG,3
1AZTyXiKmL7Wmus18udX29F4PqkLnGXsDoUGQ6Sv81hfK,3
1AnPjrTPdqhuujHKivvBuxHfxrJFutvb3qUdXFBKHEg8h,3
1Ax9ge76gUHV4BJDQvqCefv21YqAFjUmbxJAiUYZadQAr,3
1AzCPFc6p67VhW4Z58ZDkweRi4979QN3Pr67zfPM5XwjM,3
1AzfLjFm1VAhW8yFbPPxFaHLkFcrCn6tFnYPkD4o2VNuh,3
1BDAdxtrwWyfQbqG7h6KJbrk7YHsxQLRJBHYES1XKSsGW,3
1BGkgYQzmRta1PxBCeiTvhJUwaim2389rbuH8YgKhzVt,3
1BT9JFsTyKxXu2GnxTj7pTTUC735FUSVpixSuu6se3N56,3
1BYGab2ahkBwMNpaEAZEwT77bYdZGsuEiUNdFszhBG22x,3
1BaJ5scpfrW97nuwbrwfegq5ZggUHbZTC8bUBUpvVSisj,3
1Bd9bFMia2hnXfTw773TJLCB4Q2wne86avj6gUXZH4SSF,3
1BgCfdjLgURvkGkGEixiCFKqyuBmrxVETCSAV1Df3iRwt,3
1BiMqyiqBN4JKjzVq64Hs3DBT3eMAk8USH4QCuks6gtoL,3
1BnT7pCb1BWcPwVcNYvwUZEP11B3YtcnEuMGEWnRCrkgb,3
1Br1ZnDcksKUvUstQmtacEmiHvLRsXESC1RqYNPheGrS2,3
1Bx3C315mwbS88i5dnYeFCWRi8mYFAWCtF6J1yZtkukhX,3
1CCspRCaSdMACrKZxsjbKdEfCWRAdkyRk6hQbed3VChfR,3
1CMZqPzR46617f82i6tijh33bY8xvx9PyDRMW1e5KLUb3,3
1CcFhakG6iMzWjN2k6gdzFfPQVT7Ueod2TwsyxhgH8Cf2,3
1D2X7auRjFqnPe6VZnVgCVb8NZK6A9veEgqqEf6bvreTb,3
1D6YurQLDMHmtAoxAR4pkd4Mck4G6m9xZiQgPJ7hXE9zu,3
1DANVZhjWWmAfu1tiPjjQzF17LyrcmJAzEbUJyP2WmTR5,3
1DS8yyZHDkj6aGUnvTKABVrnhBzc6v1UiXik6ysmeXT7G,3
1DTBKe3jiGB38GJs26deeaEFdgBhEN878RqgoyqeU7cjh,3
1DV3ETy9fZHY9M45kDwiuP4jN2gXWX8bdvCCnakZpWpXW,3
1Din4c5iQ4fuKTGoZY6vTBDFTSE48saFtXZH64a925VME,3
1DoR82LiCksXeVYeqXMrAVTZJsjC5Uc1zUu6eeQfyT7sr,3
1EBDzv7umpoTsLJxg15ZMVLzetaShxmTq5qL72KJYRLgc,3
1Eb9FDE76HhkCa8hPHZUyoYoYJrUPPaPxz9KzwSh2g42Z,3
1EhqFpucZ7uigz8Dz7kCpLcsj2MqybrGAAs6PLg1j7bxq,3
1FtcZM2xq7tB6iznSnRWx5cgWcDKXtw19p5pQ75u1pHaU,3
1FvSfVWh9C9TAbJZcCoSo44V9y443EsvVLzgRKZNCdDwx,3
1GH8PQ5ZHFSPxQZt2PUPeZ7gEfvzDHAhUWLE5na1zVskp,3
1GTDEWfHYCgWeA8VS7Pjm4oeEz4HJmUKpCaqKoJecx4eT,3
1GXwU1gFwk3HVToVegqsTCGGD82HnvZssWTikaFiLcRGW,3
1GfwmRcH74cigVWC8K9zv8XHMLG6ghUQwicwmSy8wWVHQ,3
1GvLBbFJXG4msDQ96xN3XVrdhWpfsEP2mDq8bPwi7boZb,3
1HTpq3sWszbj36dNNfm8TrsAXzTNiQP8B7DM5ieEzAHhK,3
1Hh2Vi4RgPWVqPaSJCWsW9ayWccDVgRaqsueA8zBhY7F7,3
1Hx6FkvDsbfxdvtxtxocJLjK3W5CboqmPYmJPaXHTDbs6,3
1Hz6H1Hwo6TE5RmjEidkjuUGHua7v9F2UVXVHquJjGiho,3
1ZaFpQzzpmEuna5xCpXcqGU5A3SWVf9EbTDvmi9Hpgxq,3
1gV9W3FVEsSF2AwBYzC2vBJ4sWa2RSXNWENvM4i4wyM9,3
1kvejGZ85fjFyX1qH2m3yLxxjNpdnYwCCuD3weFJD9tA,3
1meA814fCi6ksGthf8xYBhPQsc82EsxUb7tVNojePFoN,3
1q21x2XEjM9KxEsexNUuCz35dTQZpLXvFK2HXo7UmbXz,3
1rHdvW9FKK24Ea8UFxEZzDhv7aNFzjjnnTMaWAn9bnUq,3
1Bq1T6fWMwNUmxxqkuJhxJgZWSXQ6T7B6hM5F55Umz1zW,3
1En18B69bnqRQnNiPGrz8VCATFsnKTnz39yk6yfXitDXd,3
12FrZFGn7rew1N3onefZWkRBNvRp8QTSAVT4u2nATF3hH,2
12PsvY1ucQHeXoDrncGsxfp2LwR3cGJ2EEHR55iuEqsej,2
12aH6to1JQxDFsvJ89jtFCnKEcub5ew8x2EABGEDMTYyK,2
12kkSPUyzegMonavSz5kE327dKYaCkJHiZNLXhruQm4nR,2
133TME62qNrkhL1vXkAdZ5h66CoqUdGJt7RMfh2fy8xvi,2
13DYTxD3FF1jtF5QcDKtb161JYjVA9T9nv4msDK9D9H12,2
13TVHNDYFW2b1RyH4PQC6Xab43hMcDtgjdBnqVQ7bnfeJ,2
13YFGPFhE3TkZeSbMv7F512Yn5UjexWziDoautBLtA6W3,2
13wPe6nsFggAngehDvEz6iAZjahTo9oHa99ybFsp25xpG,2
1412PbVPXRxgD5oBJTDCtLq3JqkbwYrSo1Rbd8brNgCzZ,2
14JBc1mdyKQzyuCRo35DbAmsWgH3ds1D2FjPydkXZwuEy,2
14JN8m8x1sRBMaDHTZ9xj3YHoWAGXzoSY2Yoc9CTgwG3d,2
14PLx1GFn5ULYX87LLVPeztyfF3X34ur5kmp345ou27Yr,2
14PMgfdXTMLrh9z8bg9beTbTNXLVtyPKFnSKg9jPjKi4b,2
14gQSzQpgVfnxPf9Sky95qdnAjaEjJnSWDYzJ4kfxiTMk,2
14t7HpYHd97SqbFJDyKhH8jdB2B2fYimPcq19nL8NGz2n,2
15DNtkX2RNVwg8CDcCTxmtApAFMA2CGFHj9dVd2Nu5uBp,2
15FXBTa7vUrapqYmdJDZXE2dfcoUxL6Lt17po5ABnj1b6,2
163bDBZSjXCBS4CDeASBAhuPtn8p2iCPB283A4aJX8bGs,2
16E4MuD6GuLFbA3yzpfv67z3FqPqsGjkegSzsUF5wuDhQ,2
16F4hFNwGmeC8UpVZVv4jL3TgBQa6rMQ1hyyGqRy2xcEn,2
16xuyhmTTrrTBoGP6PrZwtiP28wToepiD7RM5v4o3C6zZ,2
17LGtLrUugBoUn6ZWPiiN2tYP4cmfg2jWvtK3DpE64Egs,2
17ZMCP3uFCHeCRDgdvf3gL6v9JoUn5hJo5T1kYCZMmnr8,2
17uL58JdBAWaTgKLe8NpAQU3RHzd4cV7iJtHCqGFxsP3Z,2
18EMo6pSRcZyMFMP14E5BNC4fCC3PSFVHtSupDa1coM1K,2
18GYiRkQwvqjP21VdKyM9f1qA632TWKGNGoNTpvceLY7S,2
18ShHChNRoaAFjN31rDnsPXiYAtvzxRNC4gXp1HRtYxi6,2
18Tdbg1YfF8jZcACMHHS974L3ziEtcmspGCYxQiAHRqLT,2
18anWSuK2MBT1XheSrv5P17KykgDtN9hDk1F1JxyWy5r2,2
18chQJwcadFDSebF2mkhFBRVVBxashAHD34tyqwSvfV94,2
18kBgeTP4MgDZLN3e7Qn4Ko91byEEhZ3MyxrtXtdzUDit,2
18nj4suY9sVPBj3bXE35bBe8MEzggg3cRAtnn3MXuNH5R,2
18nvRkMaEBuCStcHoeen5fohhi4gR2ReCQmFQoknnPG9r,2
18uPt6A8ZgZge8siqpndUe1YXff3oMgyC5w8Nnx3tauiE,2
1913mQdfdQYy1VbtqbY85NiZHwBXqbmxVtYs4kyCPx6jU,2
197bDUWQiq5259v8aqfMa83tf6iLjbK8jhCKUsDGq9SyW,2
19CeEm3rD2EfEvVuXmZ4AdwnXrDYtd6kowMeKd4xK2iK7,2
19FzpP2w2FcVCr325KYsv1eGGreDqJb9LkqC6xfoz38Wp,2
19W6AJoAN7p2b5XnVFSLPpTn2Uw8b3eTQv9bUBZbybt2Z,2
19coLSa3hWTSs9UW5PfikfdL1Qf7gEKPamaHT118CzD22,2
19hsBBHuX9YYAyeS5wdL5WWTV2aoZiPRaKyFMSDgbmmoD,2
19pf8kqZd2B4AeCWEKFheKthNxoeYwfmsrawhvPrMPy4V,2
19rdvkLDzmAch7UVR4mJLZJ8nJN7fX5gymMwqnfvHFVqk,2
1ABMG6Za3CRcp8vLX3o2yU2cui2LR7hjFZHPopWSp7UNE,2
1AQ95NpNWiPvaEGBmUz351MJMsY4ZuwSkNMTJAqzdMgRs,2
1ATNKJggRMSAoc44AwVQ2883kgBk9pTrpdNQwJmVgy4yC,2
1AWZ1x17H8bHrQmd2HDyUuST92VQYu4nmVfNfctUKTv1B,2
1AccNL5p1hJq13Kz4NAGCoNvBPnNUZqAbVVjR2ruqpeSH,2
1Add6Taufmd4rjcAZLNBJnzGd63HHtHkWQEnX9Yv97Af9,2
1AfDNUXYYU6iLHsYm9e5cEFqnV18ErHCAopNDnMjkthpq,2
1AkRFNjokQ67fsZsZy8MWNwnFSECsYxGwpSksJqENzQ6L,2
1AoJB5e6EZmo2sLgNRAfVDv6kcjFhwPWtcgT2LANXsLkL,2
1ArS27md9JLpma1DWMFrAVFDn5hRxX8KKhhXeoTkwiEmQ,2
1BDkMNxZznUsoDGnt2RZrkeQnPqMqFRhoJapf3gGLTQav,2
1BKAHwHshcT68Sd974XkAMoqoACk7Lt7gE7gQcU1WMDEs,2
1BLa9urWRfepNwGCDnvgX9X6tYsqMJV5Pg5Mz66Dns5o3,2
1BP7XfkEFMP8XEz3ygP5U7HLWh3eroVGJpU6rPtkWpxMY,2
1BTA1wpHL1La6TapgjfFcYzRZRC2W1y7ghWyPCRXHvS11,2
1BWG1e9JvexBt7JQHgjWNUZhxUqaLrcqJwbtzaY4jQw96,2
